Point{x=6.8, y=12.6, d1=5.787054518492114, d2=6.003332407921452, d3=5.819676349463086, clusterClass=1}
Point{x=0.8, y=9.8, d1=4.992995093127971, d2=10.539449701004315, d3=0.8022672949210873, clusterClass=3}
Point{x=1.2, y=11.6, d1=5.889821729050887, d2=8.840814442120136, d3=1.4649685363515494, clusterClass=3}
Point{x=2.8, y=9.6, d1=3.330165161069341, d2=9.769339793455849, d3=1.4075271977834032, clusterClass=3}
Point{x=3.8, y=9.9, d1=3.046309242345562, d2=9.139474820797963, d3=2.303233121614049, clusterClass=3}
Point{x=4.4, y=6.5, d1=0.8485281374238571, d2=12.29837387624884, d3=4.668766733571083, clusterClass=1}
Point{x=4.8, y=1.1, d1=6.003332407921455, d2=17.592327873252017, d3=9.646236717627241, clusterClass=1}
Point{x=6.0, y=19.9, d1=12.839003076563223, d2=1.4317821063276355, d3=10.716103900788756, clusterClass=2}
Point{x=6.2, y=18.5, d1=11.462983904725679, d2=0.4123105625617641, d3=9.559413309011177, clusterClass=2}
Point{x=7.6, y=17.4, d1=10.623088063270488, d2=1.562049935181331, d3=9.452440574396645, clusterClass=2}
Point{x=7.8, y=12.2, d1=5.818075283115541, d2=6.511528238439881, d3=6.607467957735398, clusterClass=1}
Point{x=6.6, y=7.7, d1=1.7088007490635064, d2=10.899999999999999, d3=5.654854800302125, clusterClass=1}
Point{x=8.2, y=4.5, d1=4.1231056256176615, d2=14.190489773083941, d3=8.766834252596542, clusterClass=1}
Point{x=8.4, y=6.9, d1=3.4058772731852813, d2=11.837651794169313, d3=7.623803697138325, clusterClass=1}
Point{x=9.0, y=3.4, d1=5.448853090330113, d2=15.388307249337075, d3=10.09349457881164, clusterClass=1}
Point{x=9.6, y=11.1, d1=6.095900261651267, d2=8.077747210701755, d3=8.140938693572137, clusterClass=1}
